name_product,category,sku,price,image,rating,sold
GRILLTIDER,Alat Dapur,PRNTNRALD001,59900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/159/0815911_PE773102_S4.jpg,3.6,0
TOMAT,Alat Dapur,PRNTNRALD002,19900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/477/1147771_PE883455_S4.jpg,4.0,0
KALLSINNIG,Alat Dapur,PRNTNRALD003,29900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/628/1062845_PE851057_S4.jpg,3.7,0
SPARTANSK,Alat Dapur,PRNTNRALD004,29900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/620/1062060_PE850637_S4.jpg,3.5,0
SOMMARFLOX,Alat Dapur,PRNTNRALD005,79900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/609/1160902_PE889182_S4.jpg,4.5,0
ÖMSESIDIG,Alat Dapur,PRNTNRALD006,79900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/273/1127373_PE876189_S4.jpg,4.7,0
GRILLTIDER,Alat Dapur,PRNTNRALD007,79900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/815/1081594_PE858422_S4.jpg,3.5,0
UPPFYLLD,Alat Dapur,PRNTNRALD008,99900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/608/1160878_PE889175_S4.jpg,4.8,0
SOMMARFLOX,Alat Dapur,PRNTNRALD009,199000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/580/1158031_PE887971_S4.jpg,3.8,0
TROFAST,Alat Dapur,PRNTNRALD010,75000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/423/1042387_PE841366_S4.jpg,4.2,0
SOMMARFLOX,Alat Dapur,PRNTNRALD011,29900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/566/1156675_PE887193_S4.jpg,3.4,0
IKEA 365+,Alat Dapur,PRNTNRALD012,249000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/487/1148738_PE883807_S4.jpg,4.8,0
ÖMSESIDIG,Alat Dapur,PRNTNRALD013,79900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/272/1127244_PE876125_S4.jpg,3.4,0
INNER,Bantal,PRNTNRBNT014,120000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/381/1138125_PE879845_S4.jpg,4.3,0
MALINDA,Bantal,PRNTNRBNT015,119000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/381/1138170_PE879869_S4.jpg,4.5,0
INNER,Bantal,PRNTNRBNT016,60000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/381/1138127_PE879848_S4.jpg,4.5,0
JORDKASTANJ,Bantal,PRNTNRBNT017,49900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/384/1138424_PE879956_S4.jpg,3.3,0
SANDMOTT,Bantal,PRNTNRBNT018,99000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/389/1138929_PE880150_S4.jpg,3.6,0
SVARTPOPPEL,Bantal,PRNTNRBNT019,99000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/179/1117914_PE872820_S4.jpg,3.5,0
SVÄRDKRISSLA,Bantal,PRNTNRBNT020,199000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/437/1143757_PE881586_S4.jpg,4.8,0
INNER,Bantal,PRNTNRBNT021,80000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/381/1138120_PE879840_S4.jpg,4.7,0
JÄTTEVALLMO,Bantal,PRNTNRBNT022,49900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/385/1138533_PE879983_S4.jpg,4.9,0
SANDMOTT,Bantal,PRNTNRBNT023,99000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/389/1138926_PE880153_S4.jpg,4.0,0
ENRUM,Dekorasi,PRNTNRDKR024,69900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/377/1137793_PE879744_S4.jpg,4.0,0
ÖMSESIDIG,Dekorasi,PRNTNRDKR025,69900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/272/1127247_PE876128_S4.jpg,4.2,0
BORRBY,Dekorasi,PRNTNRDKR026,99900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/372/1137287_PE892941_S4.jpg,4.8,0
SMÄLLSPIREA,Dekorasi,PRNTNRDKR027,99900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/476/1147671_PE883396_S4.jpg,4.8,0
ÄDELSYREN,Dekorasi,PRNTNRDKR028,49900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/244/1124422_PE875166_S4.jpg,4.2,0
VINDSTILLA,Dekorasi,PRNTNRDKR029,119000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/476/1147692_PE883412_S4.jpg,4.3,0
ÄDELSYREN,Dekorasi,PRNTNRDKR030,69900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/476/1147694_PE883414_S4.jpg,4.0,0
ROSENMANDEL,Gordyn,PRNTNRGRD031,599000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/358/1135863_PE879183_S4.jpg,3.6,0
ROSENMANDEL,Gordyn,PRNTNRGRD032,599000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/360/1136048_PE879245_S4.jpg,3.2,0
PARKERINGAR,Karpet,PRNTNRKPT033,699000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/945/1194546_PE901976_S4.jpg,3.2,0
PARKERINGAR,Karpet,PRNTNRKPT034,699000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/945/1194540_PE901971_S4.jpg,3.7,0
SKÖTSAM,Karpet,PRNTNRKPT035,129000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/568/1056867_PE848622_S4.jpg,4.8,0
TRONES,Kompartemen,PRNTNRKMP036,599000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/543/1154303_PE885979_S4.jpg,3.4,0
GREJIG,Kompartemen,PRNTNRKMP037,79900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/543/1154305_PE885977_S4.jpg,3.2,0
SPIKSMED,Kompartemen,PRNTNRKMP038,699000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/525/1152576_PE885416_S4.jpg,3.0,0
NÄMMARÖ,Kompartemen,PRNTNRKMP039,1225000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/753/1175345_PE894657_S4.jpg,3.3,0
SPINNROCK,Kompartemen,PRNTNRKMP040,99900,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/715/1171561_PE893134_S4.jpg,4.7,0
SPIKSMED,Kompartemen,PRNTNRKMP041,1398000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/622/1162284_PE889757_S4.jpg,3.8,0
NÄMMARÖ,Kompartemen,PRNTNRKMP042,1999000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138750_PE880050_S4.jpg,3.5,0
KOMPLEMENT,Kompartemen,PRNTNRKMP043,450000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/346/1134604_PE878821_S4.jpg,4.4,0
NÄMMARÖ,Kursi,PRNTNRKRS044,1495000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138755_PE880055_S4.jpg,3.3,0
TORPARÖ,Kursi,PRNTNRKRS045,625000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/389/1138953_PE880158_S4.jpg,3.5,0
NÄMMARÖ,Kursi,PRNTNRKRS046,995000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138759_PE880059_S4.jpg,4.3,0
NÄMMARÖ,Kursi,PRNTNRKRS047,675000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138756_PE880056_S4.jpg,4.2,0
NÄMMARÖ,Kursi,PRNTNRKRS048,425000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138761_PE880061_S4.jpg,3.3,0
HOLMSEL,Kursi,PRNTNRKRS049,795000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/865/0186593_PE338763_S4.jpg,3.0,0
VIMUND,Kursi,PRNTNRKRS050,999000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/858/1185891_PE898595_S4.jpg,4.8,0
NÄMMARÖ,Kursi,PRNTNRKRS051,1595000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138754_PE880054_S4.jpg,4.0,0
NÄMMARÖ,Kursi,PRNTNRKRS052,995000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138763_PE880063_S4.jpg,3.6,0
NÄMMARÖ,Kursi,PRNTNRKRS053,975000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/387/1138757_PE880057_S4.jpg,3.5,0
TORPARÖ,Kursi,PRNTNRKRS054,625000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/389/1138957_PE880162_S4.jpg,4.3,0
TUMHOLMEN,Kursi,PRNTNRKRS055,1499000,https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/481/1148177_PE883706_S4.jpg,4.8,0
